epoch,train_loss,eval_loss,eval_top1,eval_top5
0,7.204436821096084,2142.28224,0.098,0.532
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.847877834357467,53.45586,0.094,0.506
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.5977166400236245,9.32241,0.116,0.564
epoch,train_loss,eval_loss,eval_top1,eval_top5
3,6.3775357498842125,6.853305,0.476,1.602
epoch,train_loss,eval_loss,eval_top1,eval_top5
4,6.175865949368944,6.69979125,0.968,3.3
epoch,train_loss,eval_loss,eval_top1,eval_top5
5,5.983203284880695,6.5718625,1.586,5.088
epoch,train_loss,eval_loss,eval_top1,eval_top5
6,5.85433131573247,6.42703,2.582,7.492
epoch,train_loss,eval_loss,eval_top1,eval_top5
7,5.7201762713638,6.260145,4.004,10.712
epoch,train_loss,eval_loss,eval_top1,eval_top5
8,5.584299713957543,6.0651625,5.914,14.802
epoch,train_loss,eval_loss,eval_top1,eval_top5
9,5.48911753355288,5.833425,8.286,19.266
epoch,train_loss,eval_loss,eval_top1,eval_top5
10,5.401914316065171,5.55124375,11.072,24.258
epoch,train_loss,eval_loss,eval_top1,eval_top5
11,5.325737275329291,5.21994,14.75,31.512
epoch,train_loss,eval_loss,eval_top1,eval_top5
12,5.237549459233003,4.8579825,19.642,40.238
epoch,train_loss,eval_loss,eval_top1,eval_top5
13,5.187535767461739,4.51225,24.57,47.72
epoch,train_loss,eval_loss,eval_top1,eval_top5
14,5.1147013879289815,4.20011375,28.952,53.56
epoch,train_loss,eval_loss,eval_top1,eval_top5
15,5.0469450155893965,3.93591125,32.578,57.782
epoch,train_loss,eval_loss,eval_top1,eval_top5
16,5.02695190672781,3.7033325,35.632,61.048
epoch,train_loss,eval_loss,eval_top1,eval_top5
17,4.962656918693991,3.489915,38.236,63.944
epoch,train_loss,eval_loss,eval_top1,eval_top5
18,4.899456931095497,3.27632875,40.612,66.638
epoch,train_loss,eval_loss,eval_top1,eval_top5
19,4.870031917796416,3.0738175,42.88,68.84
epoch,train_loss,eval_loss,eval_top1,eval_top5
20,4.83765607955409,2.8774425,45.13,71.004
epoch,train_loss,eval_loss,eval_top1,eval_top5
21,4.787543189291861,2.692575625,47.354,73.02
epoch,train_loss,eval_loss,eval_top1,eval_top5
22,4.729100444737603,2.5278175,49.29,74.764
epoch,train_loss,eval_loss,eval_top1,eval_top5
23,4.70643341775034,2.380434375,51.164,76.666
epoch,train_loss,eval_loss,eval_top1,eval_top5
24,4.64147984046562,2.25835125,53.112,78.058
epoch,train_loss,eval_loss,eval_top1,eval_top5
25,4.593251728544049,2.15510125,54.608,79.268
epoch,train_loss,eval_loss,eval_top1,eval_top5
26,4.600674746083278,2.07000125,55.954,80.446
epoch,train_loss,eval_loss,eval_top1,eval_top5
27,4.562933566523533,1.994644375,57.29,81.306
epoch,train_loss,eval_loss,eval_top1,eval_top5
28,4.512114181238062,1.92862375,58.42,82.164
epoch,train_loss,eval_loss,eval_top1,eval_top5
29,4.5124692729875155,1.872348125,59.508,82.954
epoch,train_loss,eval_loss,eval_top1,eval_top5
30,4.495959945753509,1.82232375,60.492,83.726
epoch,train_loss,eval_loss,eval_top1,eval_top5
31,4.444528437128254,1.778505,61.414,84.282
epoch,train_loss,eval_loss,eval_top1,eval_top5
32,4.448540813782635,1.738835625,62.278,84.938
epoch,train_loss,eval_loss,eval_top1,eval_top5
33,4.429116898891973,1.702426875,63.038,85.518
epoch,train_loss,eval_loss,eval_top1,eval_top5
34,4.408913750274508,1.67380875,63.796,86.054
epoch,train_loss,eval_loss,eval_top1,eval_top5
35,4.406335685767379,1.645125,64.524,86.6
epoch,train_loss,eval_loss,eval_top1,eval_top5
36,4.3866875428779455,1.61684625,65.172,87.034
epoch,train_loss,eval_loss,eval_top1,eval_top5
37,4.378019314186246,1.59016875,65.87,87.416
epoch,train_loss,eval_loss,eval_top1,eval_top5
38,4.363811420459373,1.565685,66.406,87.764
epoch,train_loss,eval_loss,eval_top1,eval_top5
39,4.35171914100647,1.540618125,66.782,88.064
epoch,train_loss,eval_loss,eval_top1,eval_top5
40,4.336363070151386,1.5191525,67.358,88.286
epoch,train_loss,eval_loss,eval_top1,eval_top5
41,4.335705626244638,1.499050625,67.676,88.656
epoch,train_loss,eval_loss,eval_top1,eval_top5
42,4.315767024077621,1.47847875,68.142,88.944
epoch,train_loss,eval_loss,eval_top1,eval_top5
43,4.3083607776492245,1.46162125,68.65,89.18
epoch,train_loss,eval_loss,eval_top1,eval_top5
44,4.297316464723325,1.44443875,68.978,89.47
epoch,train_loss,eval_loss,eval_top1,eval_top5
45,4.261461346757178,1.433059375,69.264,89.604
epoch,train_loss,eval_loss,eval_top1,eval_top5
46,4.281913752649345,1.419903125,69.664,89.79
epoch,train_loss,eval_loss,eval_top1,eval_top5
47,4.282313061695473,1.40706125,69.956,89.956
epoch,train_loss,eval_loss,eval_top1,eval_top5
48,4.249429684059293,1.394644375,70.218,90.118
epoch,train_loss,eval_loss,eval_top1,eval_top5
49,4.259243305991678,1.385290625,70.376,90.31
epoch,train_loss,eval_loss,eval_top1,eval_top5
50,4.2587394574109245,1.37372625,70.6,90.376
epoch,train_loss,eval_loss,eval_top1,eval_top5
51,4.24967919143976,1.36484375,70.916,90.538
epoch,train_loss,eval_loss,eval_top1,eval_top5
52,4.231718563566021,1.35521125,71.07,90.586
